,,単語,意味,フレーズ,訳,英作問題,和訳問題,
1534 ,,primate,霊長類,humans and other primates,人間と他の霊長類,humans and other (    ),人間と他の(    ),
1535 ,,flaw,欠陥,find flaws in his argument,彼の主張に欠陥を見つける,find (    ) in his argument,彼の主張に(    )を見つける,
1536 ,,nephew,甥,his son and nephew,彼の息子と甥,his son and (    ),彼の息子と(    ),
1537 ,,garment,衣服,wear a silk garment,絹の衣服を身につける,wear a silk (    ),絹の(    )を身につける,
1538 ,,diagnosis,診断,the diagnosis of disease,病気の診断,the (    ) of disease,病気の(    ),
1539 ,,commerce,商業,industry and commerce,工業と商業,industry and (    ),工業と(    ),
1540 ,,antiquity,古代,the art of antiquity,古代の美術,the art of (    ),(    )の美術,
1541 ,,fraction,ほんの一部,a small fraction of the money,その金のほんの一部,a small (    ) of the money,その金の(    ),
1542 ,,irony,皮肉,the irony of fate,運命の皮肉,the (    ) of fate,運命の(    ),
1543 ,,nightmare,悪夢,have a nightmare,悪夢を見る,have a (    ),(    )を見る,
1544 ,,defect,欠陥,a defect in the structure,構造上の欠陥,a (    ) in the structure,構造上の(    ),
1545 ,,certificate,証明書,a birth certificate,出生証明書,a birth (    ),出生(    ),
1546 ,,decay,腐敗,prevent the decay of food,食品の腐敗を防ぐ,prevent the (    ) of food,食品の(    )を防ぐ,
1547 ,,erosion,浸食,prevent soil erosion,土壌の浸食を防ぐ,prevent soil (    ),土壌の(    )を防ぐ,
1548 ,,recipe,秘けつ,a recipe for happiness,幸福の秘けつ,a (    ) for happiness,幸福の(    ),
1549 ,,skeleton,骨格,the human skeleton,人間の骨格,the human (    ),人間の(    ),
1550 ,,grace,優雅さ,the grace of her movements,彼女のしぐさの優雅さ,the (    ) of her movements,彼女のしぐさの(    ),
1551 ,,landmark,名所,visit some Paris landmarks,パリの名所を訪ねる,visit some Paris (    ),パリの(    )を訪ねる,
1552 ,,dementia,認知症,the symptoms of dementia,認知症の症状,the symptoms of (    ),(    )の症状,
1553 ,,flesh,肉,flesh and blood,肉と血,(    ) and blood,(    )と血,
1554 ,,collision,衝突,collision with the earth,地球との衝突,(    ) with the earth,地球との(    ),
1555 ,,hazard,危険なもの,a hazard to health,健康にとって危険なもの,a (    ) to health,健康にとって(    ),
1556 ,,tomb,墓,the tomb of the unknown soldier,無名戦士の墓,the (    ) of the unknown soldier,無名戦士の(    ),
1557 ,,injection,注射,take daily injections,毎日注射を受ける,take daily (    ),毎日(    )を受ける,
1558 ,,breakthrough,飛躍的進歩,a breakthrough in technology,技術の飛躍的進歩,a (    ) in technology,技術の(    ),
1559 ,,leather,革,a leather bag,革のかばん,a (    ) bag,(    )のかばん,
1560 ,,jewelry,宝石,a jewelry store,宝石店,a (    ) store,(    )店,
1561 ,,cue,合図,read nonverbal cues,非言語的な合図を読み取る,read nonverbal (    ),非言語的な(    )を読み取る,
1562 ,,ambulance,救急車,Call an ambulance right away.,すぐに救急車を呼べ,Call an (    ) right away.,すぐに(    )を呼べ,
1563 ,,estate,不動産,a real estate agent,不動産業者,a real (    ) agent,(    )業者,
1564 ,,commodity,商品,an export commodity,輸出向けの商品,an export (    ),輸出向けの(    ),
1565 ,,departure,出発,check the departure time,出発時刻を確認する,check the (    ) time,(    )時刻を確認する,
1566 ,,phase,段階,enter a new phase,新しい段階に入る,enter a new (    ),新しい(    )に入る,
1567 ,,thief,泥棒,a car thief,車泥棒,a car (    ),車(    ),
1568 ,,saint,聖,Saint Valentine,聖バレンタイン,(    ) Valentine,(    )バレンタイン,
1569 ,,sculpture,彫刻,painting and sculpture,絵と彫刻,painting and (    ),絵と(    ),
1570 ,,grief,悲しみ,feel deep grief over his death,彼の死に深い悲しみを感じる,feel deep (    ) over his death,彼の死に深い(    )を感じる,
1571 ,,lane,車線,drive in the fast lane,追い越し車線を走る,drive in the fast (    ),追い越し(    )を走る,
1572 ,,predator,捕食動物,predators like lions,ライオンのような捕食動物,(    ) like lions,ライオンのような(    ),
1573 ,,fluid,流体,fluids like water and air,水や空気のような流体,(    ) like water and air,水や空気のような(    ),
1574 ,,incentive,はげみ,an incentive to work,仕事のはげみ,an (    ) to work,仕事の(    ),
1575 ,,bride,花嫁,the bride and her father,花嫁とその父,the (    ) and her father,(    )とその父,
1576 ,,intervention,介入,military intervention in Iraq,イラクへの軍事介入,military (    ) in Iraq,イラクへの軍事(    ),
1577 ,,margin,差,win by a wide margin,大差で勝つ,win by a wide (    ),大(    )で勝つ,
1578 ,,biography,伝記,a biography of Einstein,アインシュタインの伝記,a (    ) of Einstein,アインシュタインの(    ),
1579 ,,consent,同意,marry without parental consent,親の同意なしに結婚する,marry without parental (    ),親の(    )なしに結婚する,
1580 ,,volcano,火山,a smoking volcano,噴煙を上げる火山,a smoking (    ),噴煙を上げる(    ),
1581 ,,rebel,反逆者,anti-government rebels,反政府の反逆者たち,anti-government (    ),反政府の(    )たち,
1582 ,,metaphor,比喩,"the metaphor of the ""melting pot""",「人種のるつぼ」という比喩,"the (    ) of the ""melting pot""",「人種のるつぼ」という(    ),
1583 ,,legislation,法律,gun control legislation,銃規制の法律,gun control (    ),銃規制の(    ),
1584 ,,lightning,雷,be struck by lightning,雷に打たれる,be struck by (    ),(    )に打たれる,
1585 ,,pesticide,殺虫剤,the use of pesticides,殺虫剤の使用,the use of (    ),(    )の使用,
1586 ,,column,コラム,write a newspaper column,新聞のコラムを書く,write a newspaper (    ),新聞の(    )を書く,
1587 ,,rumor,うわさ,spread a rumor about a ghost,幽霊のうわさを広める,spread a (    ) about a ghost,幽霊の(    )を広める,
1588 ,,dust,ほこり,tiny dust particles,細かいほこりの粒子,tiny (    ) particles,細かい(    )の粒子,
1589 ,,dialogue,対話,a dialogue between two students,２人の学生の対話,a (    ) between two students,２人の学生の(    ),
1590 ,,kindergarten,幼稚園,learn English in kindergarten,幼稚園で英語を学ぶ,learn English in (    ),(    )で英語を学ぶ,
1591 ,,diabetes,糖尿病,a patient with type 2 diabetes,２型糖尿病の患者,a patient with type 2 (    ),２型(    )の患者,
1592 ,,obesity,肥満,the risk of obesity,肥満の危険,the risk of (    ),(    )の危険,
1593 ,,patent,特許,get a patent for a new invention,新発明の特許を取る,get a (    ) for a new invention,新発明の(    )を取る,
1594 ,,chapter,章,the first chapter of The Tale of Genji,源氏物語の第１章,the first (    ) of The Tale of Genji,源氏物語の第１(    ),
1595 ,,palace,宮殿,Buckingham Palace,バッキンガム宮殿,Buckingham (    ),バッキンガム(    ),
1596 ,,laundry,洗濯,do the laundry,洗濯する,do the (    ),(    )する,
1597 ,,ward,病棟,patients in the ward,病棟の患者,patients in the (    ),(    )の患者,
1598 ,,outbreak,ぼっ発,at the outbreak of the war,戦争がぼっ発したとき,at the (    ) of the war,戦争が(    )したとき,
1599 ,,equation,方程式,solve a difficult equation,難しい方程式を解く,solve a difficult (    ),難しい(    )を解く,
1600 ,,archaeologist,考古学者,bones found by an archaeologist,考古学者に発見された骨,bones found by an (    ),(    )に発見された骨,
1601 ,,corruption,腐敗,political corruption,政治の腐敗,political (    ),政治の(    ),
1602 ,,germ,細菌,germs and viruses,細菌とウイルス,(    ) and viruses,(    )とウイルス,
1603 ,,revenue,収入,"have revenue of $100,000",10万ドルの収入がある,"have (    ) of $100,000",10万ドルの(    )がある,
1604 ,,spouse,配偶者,rely on your spouse,配偶者に頼る,rely on your (    ),(    )に頼る,
1605 ,,epidemic,流行,cholera epidemic,コレラの流行,cholera (    ),コレラの(    ),
1606 ,,mortality,死亡,America's infant mortality rate,アメリカの幼児死亡率,America's infant (    ) rate,アメリカの幼児(    )率,
1607 ,,syndrome,症候群,economy class syndrome,エコノミークラス症候群,economy class (    ),エコノミークラス(    ),
1608 ,,retail,小売り,the retail price,小売りの値段,the (    ) price,(    )の値段,
1609 ,,dose,服用,take a large dose of vitamin C,大量のビタミンCを服用する,take a large (    ) of vitamin C,大量のビタミンCを(    )する,
1610 ,,beverage,飲料,alcoholic beverages,アルコール飲料,alcoholic (    ),アルコール(    ),
1611 ,,metabolism,新陳代謝,regulate metabolism,新陳代謝を調整する,regulate (    ),(    )を調整する,
1612 ,,hybrid,交配種,a hybrid of two plants,２つの植物の交配種,a (    ) of two plants,２つの植物の(    ),
1613 ,,scent,香り,the sweet scent of roses,バラの甘い香り,the sweet (    ) of roses,バラの甘い(    ),
1614 ,,inflammation,炎症,reduce inflammation in the eye,眼の炎症を軽減する,reduce (    ) in the eye,眼の(    )を軽減する,
1615 ,,pill,薬,take sleeping pills,睡眠薬を飲む,take sleeping (    ),睡眠(    )を飲む,
1616 ,,grave,重大な,be in grave danger,重大な危機にある,be in (    ) danger,(    )危機にある,
1617 ,,fertile,肥えた,fertile soil,肥えた土壌,(    ) soil,(    )土壌,
1618 ,,hostile,反感を持つ,be hostile to the government,政府に反感を持つ,be (    ) to the government,政府に(    ),
1619 ,,indispensable,不可欠だ,Water is indispensable to life.,水は生命にとって不可欠だ,Water is (    ) to life.,水は生命にとって(    ),
1620 ,,oriented,志向の,an information-oriented society,情報志向の社会,an information-(    ) society,情報(    )社会,
1621 ,,splendid,すばらしい,a splendid view,すばらしい景色,a (    ) view,(    )景色,
1622 ,,competent,有能な,a competent teacher,有能な教師,a (    ) teacher,(    )教師,
1623 ,,supreme,最高の,supreme joy,最高の喜び,(    ) joy,(    )喜び,
1624 ,,straightforward,わかりやすい,straightforward language,わかりやすい言葉遣い,(    ) language,(    )言葉遣い,
1625 ,,sacred,聖,a land sacred to Islam,イスラム教徒の聖地,a land (    ) to Islam,イスラム教徒の(    )地,
1626 ,,bold,大胆な,take bold action,大胆な行動をとる,take (    ) action,(    )行動をとる,
1627 ,,uneasy,不安な,feel uneasy about the future,将来について不安な気持ちになる,feel (    ) about the future,将来について(    )気持ちになる,
1628 ,,neat,きちんとした,neat clothes,きちんとした服,(    ) clothes,(    )服,
1629 ,,shallow,浅い,a shallow river,浅い川,a (    ) river,(    )川,
1630 ,,fake,にせ物の,make a fake cake,にせ物のケーキを作る,make a (    ) cake,(    )ケーキを作る,
1631 ,,superficial,表面的な,a superficial difference,表面的な違い,a (    ) difference,(    )違い,
1632 ,,absurd,ばかげた,a completely absurd idea,まったくばかげた考え,a completely (    ) idea,まったく(    )考え,
1633 ,,fragile,壊れやすい,fragile items,壊れやすい物,(    ) items,(    )物,
1634 ,,respectable,ちゃんとした,a girl from a respectable family,ちゃんとした家の娘,a girl from a (    ) family,(    )家の娘,
1635 ,,magnificent,すばらしい,a magnificent view,すばらしい光景,a (    ) view,(    )光景,
1636 ,,infinite,無限の,an infinite number of stars,無限の数の星,an (    ) number of stars,(    )数の星,
1637 ,,comprehensive,包括的,a comprehensive study,包括的研究,a (    ) study,(    )研究,
1638 ,,steep,険しい,a steep slope,険しい坂,a (    ) slope,(    )坂,
1639 ,,gross,総,the gross domestic product,国内総生産,the (    ) domestic product,国内(    )生産,
1640 ,,subsequent,次に起こる,prepare for subsequent events,次に起こる出来事に備える,prepare for (    ) events,(    )出来事に備える,
1641 ,,sincere,心からの,my sincere apologies,私の心からの謝罪,my (    ) apologies,私の(    )謝罪,
1642 ,,toxic,有毒な,a toxic gas,有毒なガス,a (    ) gas,(    )ガス,
1643 ,,neutral,中立の,take a neutral position,中立の立場をとる,take a (    ) position,(    )立場をとる,
1644 ,,diligent,勤勉な,a diligent student,勤勉な学生,a (    ) student,(    )学生,
1645 ,,sore,痛い,have a sore throat,のどが痛い,have a (    ) throat,のどが(    ),
1646 ,,contaminated,汚染された,drink contaminated water,汚染された水を飲む,drink (    ) water,(    )水を飲む,
1647 ,,ambiguous,あいまいな,an ambiguous expression,あいまいな表現,an (    ) expression,(    )表現,
1648 ,,oral,口述の,an oral examination,口述の試験,an (    ) examination,(    )試験,
1649 ,,restless,落ち着かない,spend a restless night,落ち着かない夜を過ごす,spend a (    ) night,(    )夜を過ごす,
1650 ,,rotten,腐った,smell like rotten eggs,腐った卵のようににおう,smell like (    ) eggs,(    )卵のようににおう,
1651 ,,vigorous,精力的な,vigorous activity,精力的な活動,(    ) activity,(    )活動,
1652 ,,immense,莫大な,an immense amount of information,莫大な量の情報,an (    ) amount of information,(    )量の情報,
1653 ,,metropolitan,大都市,metropolitan areas,大都市圏,(    ) areas,(    )圏,
1654 ,,punctual,時間をきっちり守る,be punctual for an appointment,約束の時間をきっちり守る,be (    ) for an appointment,約束の(    ),
1655 ,,solitary,孤独な,a solitary old man,孤独な老人,a (    ) old man,(    )老人,
1656 ,,collective,集団,take collective action,集団行動を起こす,take (    ) action,(    )行動を起こす,
1657 ,,diplomatic,外交,break off diplomatic relations,外交関係を断絶する,break off (    ) relations,(    )関係を断絶する,
1658 ,,nasty,不快な,a nasty smell,不快なにおい,a (    ) smell,(    )におい,
1659 ,,helpless,無力な,a helpless baby,無力な赤ん坊,a (    ) baby,(    )赤ん坊,
1660 ,,explicit,明確な,give explicit instructions,明確な指示を与える,give (    ) instructions,(    )指示を与える,
1661 ,,bankrupt,破産した,His company went bankrupt.,彼の会社は破産した,His company went (    ).,彼の会社は(    ),
1662 ,,eternal,永遠の,the hope of eternal life,永遠の命の望み,the hope of (    ) life,(    )命の望み,
1663 ,,sole,唯一の,the sole survivor,唯一の生存者,the (    ) survivor,(    )生存者,
1664 ,,sour,すっぱい,sour grapes,すっぱいブドウ,(    ) grapes,(    )ブドウ,
1665 ,,notable,注目すべき,a notable exception,注目すべき例外,a (    ) exception,(    )例外,
1666 ,,affluent,裕福な,an affluent society,裕福な社会,an (    ) society,(    )社会,
1667 ,,naked,裸の,a naked man,裸の男,a (    ) man,(    )男,
1668 ,,vocal,発声,the vocal organ,発声器官,the (    ) organ,(    )器官,
1669 ,,feminine,女性の,feminine beauty,女性の美しさ,(    ) beauty,(    )美しさ,
1670 ,,vacant,空いている,sit down in a vacant seat,空いている席に座る,sit down in a (    ) seat,(    )席に座る,
1671 ,,exotic,外来の,native and exotic animals,在来と外来の動物,native and (    ) animals,在来と(    )動物,
1672 ,,rigid,厳格な,rigid rules,厳格な規則,(    ) rules,(    )規則,
1673 ,,humid,蒸し暑い,humid summer weather,夏の蒸し暑い天気,(    ) summer weather,夏の(    )天気,
1674 ,,outstanding,傑出した,an outstanding scholar,傑出した学者,an (    ) scholar,(    )学者,
1675 ,,addicted,中毒である,be addicted to drugs,麻薬中毒である,be (    ) to drugs,麻薬(    ),
1676 ,,vulnerable,受けやすい,be vulnerable to attack,攻撃を受けやすい,be (    ) to attack,攻撃を(    ),
1677 ,,spontaneous,自然に起こる,spontaneous laughter,自然に起こる笑い,(    ) laughter,(    )笑い,
1678 ,,greedy,どん欲だ,be greedy for money,金にどん欲だ,be (    ) for money,金に(    ),
1679 ,,trivial,ささいな,a trivial matter,ささいな事柄,a (    ) matter,(    )事柄,
1680 ,,per capita,一人当たりの,Japan's per capita income,日本の一人当たりの国民所得,Japan's (    ) income,日本の(    )国民所得,
1681 ,,inherent,元から伴う,dangers inherent in the sport,そのスポーツに元から伴う危険,dangers (    ) in the sport,そのスポーツに(    )危険,
1682 ,,promising,前途有望な,a promising new actress,前途有望な新人女優,a (    ) new actress,(    )新人女優,
1683 ,,physiological,生理的な,physiological reactions,生理的な反応,(    ) reactions,(    )反応,
1684 ,,clinical,臨床,clinical trials of new drugs,新薬の臨床試験,(    ) trials of new drugs,新薬の(    )試験,
1685 ,,chronic,慢性の,chronic disease,慢性の病気,(    ) disease,(    )病気,
1686 ,,geological,地質学的な,divisions of geological time,地質学的な時代区分,divisions of (    ) time,(    )時代区分,
1687 ,,countless,無数の,countless species of insects,無数の種類の昆虫,(    ) species of insects,(    )種類の昆虫,
1688 ,,innate,先天的な,innate ability to learn,先天的な学習能力,(    ) ability to learn,(    )学習能力,
1689 ,,alert,用心する,be alert to every sound,あらゆる音に用心する,be (    ) to every sound,あらゆる音に(    ),
1690 ,,autonomous,自動運転,autonomous cars,自動運転車,(    ) cars,(    )車,
1691 ,,simultaneously,同時に,occur simultaneously,同時に起こる,occur (    ),(    )起こる,
1692 ,,utterly,まったく,utterly different from others,他人とまったく異なる,(    ) different from others,他人と(    )異なる,
1693 ,,drastically,劇的に,change drastically,劇的に変化する,change (    ),(    )変化する,
1694 ,,necessarily,必ず,not necessarily true,必ずしも本当ではない,not (    ) true,(    )しも本当ではない,
1695 ,,thereby,そうすることで,"He always tells the truth, thereby avoiding trouble.",彼はいつも真実を述べ、そうすることで、面倒を避けている,"He always tells the truth, (    ) avoiding trouble.",彼はいつも真実を述べ、(    )、面倒を避けている,
1696 ,,frankly,率直に,speak frankly,率直に話す,speak (    ),(    )話す,
1697 ,,namely,すなわち,"the two cities, namely, Paris and Tokyo",その２つの都市、すなわちパリと東京,"the two cities, (    ), Paris and Tokyo",その２つの都市、(    )パリと東京,
1698 ,,hence,だから,"He tried hard, hence his success.",彼は努力した。だから成功した。,"He tried hard, (    ) his success.",彼は努力した。(    )成功した。,
1699 ,,via,経由で,pay bills via the Internet,インターネット経由で代金を払う,pay bills (    ) the Internet,インターネット(    )代金を払う,
1700 ,,owing to,のために,owing to lack of fuel,燃料不足のために,(    ) lack of fuel,燃料不足(    ),
1701 ,,clarify,を明らかにする,clarify the meaning of the word,単語の意味を明らかにする,(    ) the meaning of the word,単語の意味(    ),
1702 ,,smash,を粉々に砕く,smash a bottle,ビンを粉々に砕く,(    ) a bottle,ビン(    ),
1703 ,,mourn,を悲しむ,mourn Gandhi's death,ガンジーの死を悲しむ,(    ) Gandhi's death,ガンジーの死(    ),
1704 ,,summon,を呼ぶ,summon the police,警察を呼ぶ,(    ) the police,警察(    ),
1705 ,,shatter,を粉々にする,shatter windows,窓を粉々にする,(    ) windows,窓(    ),
1706 ,,linger,残る,linger in my memory,私の記憶に残る,(    ) in my memory,私の記憶に(    ),
1707 ,,lament,を嘆く,lament the shortness of life,人生の短さを嘆く,(    ) the shortness of life,人生の短さ(    ),
1708 ,,endow,恵まれる,be endowed with a talent,才能に恵まれる,be (    ) with a talent,才能に(    ),
1709 ,,rejoice,喜ぶ,rejoice in the success,成功を喜ぶ,(    ) in the success,成功を(    ),
1710 ,,allocate,を配分する,allocate resources,資源を配分する,(    ) resources,資源(    ),
1711 ,,slap,をピシャリと打つ,slap his face,彼の顔をピシャリと打つ,(    ) his face,彼の顔(    ),
1712 ,,contend,と主張する,contend that money cannot buy happiness,お金で幸福は買えないと主張する,(    ) that money cannot buy happiness,お金で幸福は買えない(    ),
1713 ,,swear,と誓う,swear never to drink again,二度と酒を飲まないと誓う,(    ) never to drink again,二度と酒を飲まない(    ),
1714 ,,discern,を認識する,can discern the difference,違いを認識することができる,can (    ) the difference,違い(    )ことができる,
1715 ,,degrade,を悪化させる,degrade the environment,環境を悪化させる,(    ) the environment,環境(    ),
1716 ,,erect,を築く,erect barriers,障壁を築く,(    ) barriers,障壁(    ),
1717 ,,testify,証言する,testify in court,法廷で証言する,(    ) in court,法廷で(    ),
1718 ,,spur,を駆り立てる,spur him into action,行動へと彼を駆り立てる,(    ) him into action,行動へと彼(    ),
1719 ,,roam,を歩き回る,roam the streets freely,自由に街を歩き回る,(    ) the streets freely,自由に街(    ),
1720 ,,frown,まゆをひそめる,frown on smoking,喫煙にまゆをひそめる,(    ) on smoking,喫煙に(    ),
1721 ,,lure,を呼び込む,lure tourists to Japan,日本に観光客を呼び込む,(    ) tourists to Japan,日本に観光客(    ),
1722 ,,defy,に逆らう,defy gravity,重力に逆らう,(    ) gravity,重力(    ),
1723 ,,stroll,ぶらつく,stroll in the park,公園をぶらつく,(    ) in the park,公園を(    ),
1724 ,,rattle,をがたがた鳴らす,rattle the windows,窓をがたがた鳴らす,(    ) the windows,窓(    ),
1725 ,,reconcile,を調和させる,reconcile religion with science,宗教と科学を調和させる,(    ) religion with science,宗教と科学(    ),
1726 ,,blur,をぼやかす,blur the distinction,区別をぼやかす,(    ) the distinction,区別(    ),
1727 ,,soothe,をなだめる,soothe a crying child,泣く子供をなだめる,(    ) a crying child,泣く子供(    ),
1728 ,,impair,を低下させる,impair learning ability,学習能力を低下させる,(    ) learning ability,学習能力(    ),
1729 ,,comply,従う,comply with the standards,基準に従う,(    ) with the standards,基準に(    ),
1730 ,,pierce,に穴をあける,pierce my ears,耳に穴をあける,(    ) my ears,耳(    ),
1731 ,,stumble,つまづく,stumble on the stairs,階段でつまづく,(    ) on the stairs,階段で(    ),
1732 ,,hinder,をさまたげる,hinder economic development,経済の発展をさまたげる,(    ) economic development,経済の発展(    ),
1733 ,,mock,をあざける,mock her efforts,彼女の努力をあざける,(    ) her efforts,彼女の努力(    ),
1734 ,,embody,を具現する,embody the spirit of the age,時代の精神を具現する,(    ) the spirit of the age,時代の精神(    ),
1735 ,,stalk,に忍び寄る,stalk the prey,獲物に忍び寄る,(    ) the prey,獲物(    ),
1736 ,,proclaim,と宣言する,proclaim that Japan is safe,日本は安全だと宣言する,(    ) that Japan is safe,日本は安全だ(    ),
1737 ,,applaud,拍手する,The audience applauds.,観客が拍手する,The audience (    ).,観客が(    ),
1738 ,,inflict,を与える,inflict pain on other people,人に苦痛を与える,(    ) pain on other people,人に苦痛(    ),
1739 ,,merge,合併する,merge with the company,その会社と合併する,(    ) with the company,その会社と(    ),
1740 ,,evacuate,避難した,People were evacuated from the area.,人々はその地域から避難した,People were (    ) from the area.,人々はその地域から(    ),
1741 ,,undo,元に戻ら,What is done cannot be undone.,一度したことは元に戻らない,What is done cannot be (    ).,一度したことは(    )ない,
1742 ,,poke,を突く,poke him in the ribs,彼のわき腹を突く,(    ) him in the ribs,彼のわき腹(    ),
1743 ,,haunt,つきまとわれる,be haunted by memories of war,戦争の記憶につきまとわれる,be (    ) by memories of war,戦争の記憶に(    ),
1744 ,,adhere,を固く守る,adhere the international standards,国際基準を固く守る,(    ) the international standards,国際基準(    ),
1745 ,,compile,をまとめる,compile a list of customers,顧客のリストをまとめる,(    ) a list of customers,顧客のリスト(    ),
1746 ,,wither,しぼむ,The flowers will wither in the cold.,花は寒さでしぼむだろう,The flowers will (    ) in the cold.,花は寒さで(    )だろう,
1747 ,,stun,をびっくりさせる,stun the audience,聴衆をびっくりさせる,(    ) the audience,聴衆(    ),
1748 ,,choke,のどがつまる,choke on a piece of food,食べ物でのどがつまる,(    ) on a piece of food,食べ物で(    ),
1749 ,,deteriorate,悪化する,His health will deteriorate.,彼の健康状態は悪化するだろう,His health will (    ).,彼の健康状態は(    )だろう,
1750 ,,dump,を捨てる,dump garbage in the street,通りにゴミを捨てる,(    ) garbage in the street,通りにゴミ(    ),
1751 ,,murmur,つぶやく,murmur in a low voice,低い声でつぶやく,(    ) in a low voice,低い声で(    ),
1752 ,,delete,を削除する,delete old emails,古いeメールを削除する,(    ) old emails,古いeメール(    ),
1753 ,,inhibit,を阻害する,inhibit the growth of bacteria,バクテリアの成長を阻害する,(    ) the growth of bacteria,バクテリアの成長(    ),
1754 ,,divert,をそらす,divert attention from the fact,事実から注意をそらす,(    ) attention from the fact,事実から注意(    ),
1755 ,,tame,を飼いならす,tame wild animals,野生動物を飼いならす,(    ) wild animals,野生動物(    ),
1756 ,,reap,を手に入れる,reap large rewards,大きな報酬を手に入れる,(    ) large rewards,大きな報酬(    ),
1757 ,,affirm,と断言する,affirm that it is true,それは本当だと断言する,(    ) that it is true,それは本当だ(    ),
1758 ,,immerse,浸る,be immersed in a different culture,異なる文化に浸る,be (    ) in a different culture,異なる文化に(    ),
1759 ,,expire,期限が切れる,My license expires next month.,私の免許は来月に期限が切れる,My license (    ) next month.,私の免許は来月に(    ),
1760 ,,embark,乗り出す,embark on a new adventure,新しい冒険に乗り出す,(    ) on a new adventure,新しい冒険に(    ),
1761 ,,vow,を誓う,vow to fight,戦うことを誓う,(    ) to fight,戦うこと(    ),
1762 ,,foresee,を予知する,foresee the future,未来を予知する,(    ) the future,未来(    ),
1763 ,,adore,を崇拝する,adore him as a god,神として彼を崇拝する,(    ) him as a god,神として彼(    ),
1764 ,,yearn,切望する,yearn for freedom,自由を切望する,(    ) for freedom,自由を(    ),
1765 ,,undermine,を弱める,undermine the US position,アメリカの立場を弱める,(    ) the US position,アメリカの立場(    ),
1766 ,,suck,を吸う,suck blood from humans,人間の血を吸う,(    ) blood from humans,人間の血(    ),
1767 ,,pledge,を誓う,pledge to support them,彼らを支持することを誓う,(    ) to support them,彼らを支持すること(    ),
1768 ,,intrude,立ち入る,intrude on his privacy,彼のプライバシーに立ち入る,(    ) on his privacy,彼のプライバシーに(    ),
1769 ,,sue,を訴える,sue a doctor,医者を訴える,(    ) a doctor,医者(    ),
1770 ,,distort,を歪曲する,distort the facts,事実を歪曲する,(    ) the facts,事実(    ),
1771 ,,extinguish,を消す,extinguish the fire,火を消す,(    ) the fire,火(    ),
1772 ,,preach,説教する,preach to the crowd,群衆に説教する,(    ) to the crowd,群衆に(    ),
1773 ,,curb,を抑制する,curb population growth,人口増加を抑制する,(    ) population growth,人口増加(    ),
1774 ,,withstand,に耐える,withstand high temperatures,高温に耐える,(    ) high temperatures,高温(    ),
1775 ,,dip,を浸す,dip the meat in the sauce,ソースに肉を浸す,(    ) the meat in the sauce,ソースに肉(    ),
1776 ,,recite,を暗唱する,recite poetry,詩を暗唱する,(    ) poetry,詩(    ),
1777 ,,thrust,を押し込む,thrust the money into his pocket,彼のポケットにお金を押し込む,(    ) the money into his pocket,彼のポケットにお金(    ),
1778 ,,plead,嘆願する,plead with her to come back,彼女に戻るよう嘆願する,(    ) with her to come back,彼女に戻るよう(    ),
1779 ,,humiliate,恥をかかせる,humiliate him in front of others,人前で彼に恥をかかせる,(    ) him in front of others,人前で彼に(    ),
1780 ,,discharge,を放出する,discharge waste into rivers,川に廃水を放出する,(    ) waste into rivers,川に廃水(    ),
1781 ,,condemn,を非難する,condemn his behavior,彼の振る舞いを非難する,(    ) his behavior,彼の振る舞い(    ),
1782 ,,retrieve,を検索する,retrieve information,情報を検索する,(    ) information,情報(    ),
1783 ,,shrug,をすくめる,shrug your shoulders,肩をすくめる,(    ) your shoulders,肩(    ),
1784 ,,evoke,を呼び起こす,evoke a response,反応を呼び起こす,(    ) a response,反応(    ),
1785 ,,fetch,を取ってくる,fetch water from the river,川から水を取ってくる,(    ) water from the river,川から水(    ),
1786 ,,flatter,におせじを言う,flatter the boss,上司におせじを言う,(    ) the boss,上司(    ),
1787 ,,prose,散文,write prose and poetry,散文と詩を書く,write (    ) and poetry,(    )と詩を書く,
1788 ,,textile,織物,the textile industry,織物工業,the (    ) industry,(    )工業,
1789 ,,timber,材木,cut timber,材木を切る,cut (    ),(    )を切る,
1790 ,,masterpiece,傑作,masterpieces of French art,フランス美術の傑作,(    ) of French art,フランス美術の(    ),
1791 ,,riot,暴動,an anti-government riot,反政府の暴動,an anti-government (    ),反政府の(    ),
1792 ,,carriage,車両,a train carriage,列車の車両,a train (    ),列車の(    ),
1793 ,,apparatus,装置,breathing apparatus,呼吸装置,breathing (    ),呼吸(    ),
1794 ,,fuss,大騒ぎ,make a fuss about nothing,くだらないことに大騒ぎする,make a (    ) about nothing,くだらないことに(    )する,
1795 ,,deficiency,欠乏,a vitamin deficiency,ビタミンの欠乏,a vitamin (    ),ビタミンの(    ),
1796 ,,heir,相続人,the heir to a fortune,財産の相続人,the (    ) to a fortune,財産の(    ),
1797 ,,equator,赤道,a jungle at the equator,赤道直下のジャングル,a jungle at the (    ),(    )直下のジャングル,
1798 ,,petroleum,石油,import petroleum,石油を輸入する,import (    ),(    )を輸入する,
1799 ,,witch,魔女,an evil witch,邪悪な魔女,an evil (    ),邪悪な(    ),
1800 ,,vapor,蒸気,Water changes into vapor.,水が蒸気に変わる。,Water changes into (    ).,水が(    )に変わる。,
1801 ,,probe,探査機,a space probe,宇宙探査機,a space (    ),宇宙(    ),
